C2_L_cmH2O,R2_cmH2O_s_L,MPtot_min,MPtot_max,EF1_min,EF1_max,EII_min,EII_max,EII_range,EF1_range,preference_reversal_across_loading_inputs
0.03,10.0,2.959785358782547,66.68869616405249,0.56852855714489,0.5716971976797363,0.1370571142897799,0.14339439535947246,0.0063372810696925574,0.003168640534846223,False
0.03,11.0,2.9432821691869395,66.46461133721533,0.5715178493391657,0.572982789170413,0.14303569867833127,0.14596557834082605,0.0029298796624947776,0.0014649398312472917,False
0.03,12.0,2.9250861179770156,66.16573284962972,0.572529202484819,0.5779672540859762,0.14505840496963798,0.1559345081719522,0.010876103202314219,0.005438051601157179,False
0.03,13.0,2.9056195143157804,65.81050377893374,0.574442871587627,0.583305581038425,0.14888574317525402,0.16661116207684987,0.017725418901595846,0.008862709450798034,False
0.03,14.0,2.885251313048048,65.41389829733953,0.5770415907991993,0.5888714649449788,0.15408318159839848,0.17774292988995746,0.02365974829155898,0.011829874145779518,False
0.03,15.0,2.864292658923884,64.98791211996175,0.5801600338542132,0.5945731170642414,0.16032006770842644,0.1891462341284828,0.028826166420056365,0.01441308321002821,False
0.03,16.0,2.8429995355853843,64.54206143297473,0.5836712328213765,0.6003431107879846,0.16734246564275285,0.20068622157596916,0.03334375593321631,0.016671877966608184,False
0.035,4.0,3.222975930221555,70.15304683704144,0.5228519122507281,0.5824022525367051,0.04570382450145619,0.1648045050734098,0.11910068057195361,0.059550340285976944,False
0.035,5.0,3.2202472268800886,70.96980037640932,0.5232949551786568,0.5603038263159488,0.04658991035731364,0.12060765263189747,0.07401774227458383,0.03700887113729201,False
0.035,6.0,3.2129223033185044,71.44462029594558,0.5232643770254363,0.5466206579586919,0.04652875405087222,0.09324131591738365,0.046712561866511425,0.02335628093325559,False
0.035,7.0,3.2006264637895456,71.62878886473906,0.5244251456067051,0.5386470154407862,0.048850291213410016,0.07729403088157204,0.02844373966816202,0.014221869834081136,False
