E_vent_J,E_mus_J,E_tot_J,E1_tot_J,E2_tot_J,MP_vent_Jmin,MP_mus_Jmin,MP_tot_Jmin,REF1,REF2,EII,ECF,HBR,VT1_L,VT2_L,VT_total_L,Flow1_peak_Ls,Flow2_peak_Ls,Flow_total_peak_Ls,Pdist_peak_cmH2O,C1_L_cmH2O,R1_cmH2O_s_L,C2_L_cmH2O,R2_cmH2O_s_L,PEEP_cmH2O,PS_cmH2O,RR_bpm,Ti_s,Energy_balance_error_J,Partition_balance_error,phenotype,Pmus_peak_cmH2O,Tmus_s,Pmus_onset_s
2.7625221048907695,0.7210010604357857,3.483523165326556,1.2853929289516441,2.1981302363749116,49.725397888033854,12.978019087844142,62.70341697587801,0.3689922150499457,0.6310077849500542,0.2620155699001085,0.2069746708195629,1.2609937705690484,0.6992083423644144,1.1805211481065536,1.879729490470968,1.875,1.875,3.75,21.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,8.881784197001252e-16,1.1102230246251565e-16,compliance_dominant,6.0,1.0,0.0
2.9865814653988494,0.734448902317392,3.7210303677162413,1.3887797669148474,2.332250600801394,53.75846637717929,13.220080241713056,66.97854661889234,0.37322451839252313,0.626775481607477,0.2535509632149538,0.1973778307990954,1.2459162459910693,0.7735484629107683,1.25890758690915,2.0324560498199182,1.875,1.875,3.75,21.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,6.0,1.4,0.0
2.530170881042789,1.028165639470946,3.558336520513736,1.3369066102252738,2.2214299102884616,45.5430758587702,18.506981510477026,64.05005736924724,0.37571112302561466,0.6242888769743852,0.24857775394877057,0.2889455883510715,1.4063621343421662,0.6261149869773466,1.0958380969470098,1.7219530839243564,1.8753926933399478,2.1997742881993148,3.994581452620877,24.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,8.881784197001252e-16,2.220446049250313e-16,compliance_dominant,9.0,0.6,0.0
3.025510753172464,1.2290160859420547,4.2545268391145195,1.5623521361456245,2.6921747029688943,54.459193557104356,22.122289546956985,76.58148310406135,0.3672211259268473,0.6327788740731526,0.2655577481463053,0.2888725661906615,1.4062177219675533,0.761929256021719,1.2963949642377552,2.0583242202594745,1.875,1.9389454460783697,3.75,24.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,8.881784197001252e-16,1.1102230246251565e-16,compliance_dominant,9.0,1.0,0.0
3.3615997939345843,1.2777483257133626,4.639348119647947,1.728509292351504,2.910838827296443,60.50879629082252,22.999469862840527,83.50826615366304,0.3725758981161928,0.6274241018838073,0.25484820376761447,0.2754154878574457,1.380101262505678,0.8734394368412487,1.413974622441647,2.2874140592828955,1.875,1.875,3.75,24.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,9.0,1.4,0.0
2.628046238614595,1.52910180504021,4.157148043654805,1.5677988990368872,2.5893491446179184,47.30483229506271,27.52383249072378,74.8286647857865,0.3771332852650921,0.622866714734908,0.24573342946981588,0.36782471756668117,1.5818397646786817,0.64356447761986,1.1448596239812945,1.7884241016011546,2.0193441097496407,2.4698427746995226,4.441402204472179,27.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,12.0,0.6,0.0
3.2884994014541573,1.8353741083072401,5.123873509761397,1.8763430265274454,3.247530483233952,59.19298922617483,33.03673394953032,92.22972317570515,0.3661962035075337,0.6338037964924664,0.26760759298493275,0.3582005107680162,1.5581190337135675,0.8246501696790234,1.4122687803689569,2.23691895004798,1.875,2.1373964482809304,3.805796272970824,27.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,12.0,1.0,0.0
3.7366181224703197,1.9384310639341829,5.675049186404502,2.1126551004833822,3.5623940859211203,67.25912620446576,34.89175915081529,102.15088535528103,0.3722707999684988,0.6277292000315012,0.25545840006300247,0.3415707952942519,1.5187661678022006,0.9733304107717291,1.5690416579741475,2.542372068745877,1.875,1.9293033558780137,3.75,27.0,0.04,8.0,0.08,8.0,5.0,15.0,18.0,1.0,0.0,0.0,compliance_dominant,12.0,1.4,0.0
0.17106190958081038,0.0,0.17106190958081038,0.09361884045857832,0.07744306912223203,3.079114372454587,0.0,3.079114372454587,0.5472804593845153,0.4527195406154846,0.09456091876903072,0.0,1.0,0.1912555050166022,0.15812891930735845,0.34938442432396066,0.625,0.3125,0.9375,5.0,0.04,8.0,0.04,16.0,5.0,5.0,18.0,1.0,0.0,1.1102230246251565e-16,resistance_dominant,0.0,0.6,0.0
0.17106190958081038,0.0,0.17106190958081038,0.09361884045857832,0.07744306912223203,3.079114372454587,0.0,3.079114372454587,0.5472804593845153,0.4527195406154846,0.09456091876903072,0.0,1.0,0.1912555050166022,0.15812891930735845,0.34938442432396066,0.625,0.3125,0.9375,5.0,0.04,8.0,0.04,16.0,5.0,5.0,18.0,1.0,0.0,1.1102230246251565e-16,resistance_dominant,0.0,1.0,0.0
0.17106190958081038,0.0,0.17106190958081038,0.09361884045857832,0.07744306912223203,3.079114372454587,0.0,3.079114372454587,0.5472804593845153,0.4527195406154846,0.09456091876903072,0.0,1.0,0.1912555050166022,0.15812891930735845,0.34938442432396066,0.625,0.3125,0.9375,5.0,0.04,8.0,0.04,16.0,5.0,5.0,18.0,1.0,0.0,1.1102230246251565e-16,resistance_dominant,0.0,1.4,0.0
0.1916592007315422,0.08029875097618058,0.2719579517077228,0.14854517891391927,0.12341277279380349,3.449865613167759,1.4453775175712504,4.8952431307390105,0.5462064189745147,0.45379358102548517,0.09241283794902953,0.2952616405291904,1.4189663249647766,0.20870499565911563,0.18263968282450163,0.39134467848361726,0.6251308977799827,0.3666290480332192,0.9719380680036831,8.0,0.04,8.0,0.04,16.0,5.0,5.0,18.0,1.0,5.551115123125783e-17,1.1102230246251565e-16,resistance_dominant,3.0,0.6,0.0
