C2_L_cmH2O,R2_cmH2O_s_L,PS_cmH2O,Tmus_s,EII_min,EII_max,EF1_min,EF1_max,EII_range,EF1_range
0.02,11.0,10.0,0.6,0.3183492803278126,0.32587498302150847,0.6591746401639064,0.6629374915107542,0.007525702693695846,0.0037628513468478397
0.02,11.0,10.0,1.0,0.3183492803278126,0.3488265325429474,0.6591746401639064,0.6744132662714738,0.030477252215134754,0.015238626107567432
0.02,11.0,10.0,1.4,0.3183492803278126,0.33213801983711233,0.6591746401639064,0.6660690099185563,0.013788739509299708,0.006894369754649965
0.02,11.0,15.0,0.6,0.31834928032781523,0.3258749830215094,0.6591746401639077,0.6629374915107547,0.007525702693694181,0.0037628513468469516
0.02,11.0,15.0,1.0,0.31834928032781523,0.3446518584420594,0.6591746401639077,0.6723259292210297,0.02630257811424419,0.01315128905712204
0.02,11.0,15.0,1.4,0.31834928032781523,0.3303703181305317,0.6591746401639077,0.6651851590652658,0.012021037802716461,0.006010518901358064
0.02,12.0,5.0,0.6,0.3167635198498703,0.3256341317900627,0.6583817599249352,0.6628170658950313,0.008870611940192397,0.004435305970096115
0.02,12.0,5.0,1.0,0.3204839159534634,0.3443289840440686,0.6602419579767317,0.6721644920220343,0.02384506809060516,0.011922534045302635
0.02,12.0,5.0,1.4,0.3204839159534634,0.33123612775203903,0.6602419579767317,0.6656180638760195,0.010752211798575606,0.005376105899287831
0.02,12.0,10.0,0.6,0.3204839159534634,0.3256341317900627,0.6602419579767317,0.6628170658950313,0.005150215836599248,0.002575107918299624
0.02,12.0,10.0,1.0,0.3204839159534634,0.34233212792976825,0.6602419579767317,0.6711660639648841,0.02184821197630482,0.01092410598815241
0.02,12.0,10.0,1.4,0.3204839159534634,0.3303274358404732,0.6602419579767317,0.6651637179202365,0.009843519887009766,0.004921759943504855
0.02,12.0,15.0,0.6,0.32048391595346365,0.3256341317900629,0.6602419579767318,0.6628170658950315,0.005150215836599248,0.002575107918299735
0.02,12.0,15.0,1.0,0.32048391595346365,0.33944653104801126,0.6602419579767318,0.6697232655240057,0.018962615094547608,0.009481307547273943
0.02,12.0,15.0,1.4,0.32048391595346365,0.32912558949731263,0.6602419579767318,0.6645627947486564,0.008641673543848982,0.00432083677192463
0.02,13.0,5.0,0.6,0.31956428894355166,0.3264060482996037,0.659782144471776,0.6632030241498018,0.006841759356052024,0.0034208796780258455
0.02,13.0,5.0,1.0,0.32308403083686993,0.33900548444607853,0.6615420154184349,0.6695027422230393,0.015921453609208602,0.007960726804604357
0.02,13.0,5.0,1.4,0.32308403083686993,0.33020191708288615,0.6615420154184349,0.665100958541443,0.007117886246016225,0.003558943123008085
0.02,13.0,10.0,0.6,0.32308403083686993,0.3264060482996037,0.6615420154184349,0.6632030241498018,0.0033220174627337506,0.0016610087313668753
0.02,13.0,10.0,1.0,0.32308403083686993,0.3378388300904124,0.6615420154184349,0.6689194150452062,0.01475479925354245,0.007377399626771308
0.02,13.0,10.0,1.4,0.32308403083686993,0.3296993289411457,0.6615420154184349,0.6648496644705728,0.006615298104275746,0.003307649052137873
0.02,13.0,15.0,0.6,0.3230840308368709,0.32640604829960335,0.6615420154184355,0.6632030241498016,0.003322017462732474,0.0016610087313660982
0.02,13.0,15.0,1.0,0.3230840308368709,0.33595777545174615,0.6615420154184355,0.6679788877258731,0.012873744614875282,0.006436872307437613
0.02,13.0,15.0,1.4,0.3230840308368709,0.32893127642875103,0.6615420154184355,0.6644656382143754,0.005847245591880157,0.0029236227959399397
0.02,14.0,5.0,0.6,0.32341232270230114,0.3280327812021585,0.6617061613511507,0.6640163906010792,0.004620458499857372,0.0023102292499285193
0.02,14.0,5.0,1.0,0.3261186003306862,0.3356168633170697,0.663059300165343,0.6678084316585349,0.00949826298638351,0.004749131493191894
0.02,14.0,5.0,1.4,0.3261186003306862,0.3303243443238904,0.663059300165343,0.6651621721619452,0.004205743993204225,0.002102871996602196
0.02,14.0,10.0,0.6,0.3261186003306862,0.3280327812021585,0.663059300165343,0.6640163906010792,0.0019141808714723263,0.0009570904357362187
0.02,14.0,10.0,1.0,0.3261186003306862,0.33501729339670033,0.663059300165343,0.6675086466983502,0.008898693066014152,0.004449346533007215
0.02,14.0,10.0,1.4,0.3261186003306862,0.3300867725011937,0.663059300165343,0.6650433862505969,0.0039681721705075446,0.001984086085253911
0.02,14.0,15.0,0.6,0.326118600330687,0.3280327812021594,0.6630593001653434,0.6640163906010798,0.0019141808714723818,0.0009570904357363297
0.02,14.0,15.0,1.0,0.326118600330687,0.33392120164103267,0.6630593001653434,0.6669606008205163,0.007802601310345658,0.0039013006551729124
0.02,14.0,15.0,1.4,0.326118600330687,0.3296494193316968,0.6630593001653434,0.6648247096658484,0.003530819001009766,0.0017654095005049664
0.02,15.0,5.0,0.6,0.3280644022354613,0.33038007856951607,0.6640322011177306,0.6651900392847581,0.0023156763340547726,0.001157838167027414
0.02,15.0,5.0,1.0,0.32954905243158417,0.33382078931113324,0.6647745262157921,0.6669103946555668,0.004271736879549071,0.0021358684397746464
0.02,15.0,5.0,1.4,0.32954905243158417,0.33142441643453696,0.6647745262157921,0.6657122082172685,0.0018753640029527952,0.0009376820014763698
0.02,15.0,10.0,0.6,0.32954905243158417,0.33038007856951607,0.6647745262157921,0.6651900392847581,0.0008310261379319006,0.00041551306896592255
0.02,15.0,10.0,1.0,0.32954905243158417,0.33359212055716664,0.6647745262157921,0.6667960602785833,0.004043068125582472,0.0020215340627911527
0.02,15.0,10.0,1.4,0.32954905243158417,0.33134149979691974,0.6647745262157921,0.6656707498984599,0.00179244736533557,0.0008962236826677294
0.02,15.0,15.0,0.6,0.3295490524315845,0.3303828863070208,0.6647745262157922,0.6651914431535104,0.0008338338754362851,0.0004169169377181703
0.02,15.0,15.0,1.0,0.3295490524315845,0.3331105849267309,0.6647745262157922,0.6665552924633654,0.0035615324951464022,0.0017807662475731734
0.02,15.0,15.0,1.4,0.3295490524315845,0.3311543171885369,0.6647745262157922,0.6655771585942685,0.0016052647569523848,0.0008026323784762202
0.02,16.0,5.0,0.6,0.33333333333333326,0.3333333333333335,0.6666666666666665,0.666666666666667,2.220446049250313e-16,4.440892098500626e-16
0.02,16.0,5.0,1.0,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.6666666666666669,1.1102230246251565e-16,2.220446049250313e-16
0.02,16.0,5.0,1.4,0.33333333333333326,0.3333333333333334,0.6666666666666665,0.6666666666666669,1.6653345369377348e-16,3.3306690738754696e-16
0.02,16.0,10.0,0.6,0.33333333333333326,0.3333333333333334,0.6666666666666665,0.6666666666666669,1.6653345369377348e-16,3.3306690738754696e-16
0.02,16.0,10.0,1.0,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.6666666666666669,1.1102230246251565e-16,2.220446049250313e-16
0.02,16.0,10.0,1.4,0.33333333333333326,0.3333333333333334,0.6666666666666665,0.6666666666666669,1.6653345369377348e-16,3.3306690738754696e-16
0.02,16.0,15.0,0.6,0.33333333333333326,0.3333333333333334,0.6666666666666665,0.6666666666666669,1.6653345369377348e-16,3.3306690738754696e-16
0.02,16.0,15.0,1.0,0.3333333333333333,0.3333333333333334,0.6666666666666666,0.6666666666666669,1.1102230246251565e-16,2.220446049250313e-16
0.02,16.0,15.0,1.4,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.6666666666666667,5.551115123125783e-17,1.1102230246251565e-16
0.025,4.0,5.0,0.6,0.21110041232816007,0.27963901810716046,0.60555020616408,0.6398195090535803,0.0685386057790004,0.034269302889500364
0.025,4.0,5.0,1.0,0.21110041232816007,0.3972070004832672,0.60555020616408,0.6986035002416336,0.1861065881551071,0.0930532940775537
0.025,4.0,5.0,1.4,0.21110041232816007,0.29443307423974335,0.60555020616408,0.6472165371198717,0.08333266191158328,0.04166633095579175
0.025,4.0,10.0,0.6,0.21110041232816007,0.278283760768909,0.60555020616408,0.6391418803844545,0.06718334844074891,0.03359167422037457
